comment_id,sentence_id,attribution,primary_attribution,secondary_attribution,multiple_attribution_1,other_attribution,actual_comment_ids
676,676.0,1,religion,,,,Ugg-C8s3dJkMhHgCoAEC.0
676,676.1,1,government inaction,,,,Ugg-C8s3dJkMhHgCoAEC.1
676,676.2,0,,,,,Ugg-C8s3dJkMhHgCoAEC.2
676,676.3,1,religion,,,,Ugg-C8s3dJkMhHgCoAEC.3
390,390.0,0,,,,,Ugg1TlllxIKjY3gCoAEC.0
390,390.1,0,,,,,Ugg1TlllxIKjY3gCoAEC.1
390,390.2,1,desalination,,,,Ugg1TlllxIKjY3gCoAEC.2
2056,2056.0,0,,,,,Ugg5L9nqIam7tXgCoAEC.0
2056,2056.1,0,,,,,Ugg5L9nqIam7tXgCoAEC.1
2056,2056.2,0,,,,,Ugg5L9nqIam7tXgCoAEC.2
3045,3045.0,0,,,,,UggAT_G9cTVgOHgCoAEC.0
3045,3045.1,1,contamination,,,,UggAT_G9cTVgOHgCoAEC.1
3045,3045.2,0,,,,,UggAT_G9cTVgOHgCoAEC.2
2264,2264.0,1,deforestation,climate change,,,UggCMpwYwAdke3gCoAEC.0
2740,2740.0,0,,,,,UggCswfc_xxX1XgCoAEC.0
2740,2740.1,1,overpopulation,,,,UggCswfc_xxX1XgCoAEC.1
2740,2740.2,1,overpopulation,,,,UggCswfc_xxX1XgCoAEC.2
521,521.0,0,,,,,UggDun4_opZFmXgCoAEC.89da5i5oHDn89qbliyfR_k.0
521,521.1,0,,,,,UggDun4_opZFmXgCoAEC.89da5i5oHDn89qbliyfR_k.1
521,521.2,0,,,,,UggDun4_opZFmXgCoAEC.89da5i5oHDn89qbliyfR_k.2
521,521.3,1,overpopulation,,,,UggDun4_opZFmXgCoAEC.89da5i5oHDn89qbliyfR_k.3
521,521.4,1,overpopulation,,,,UggDun4_opZFmXgCoAEC.89da5i5oHDn89qbliyfR_k.4
1425,1425.0,1,loss of water bodies,,,,UggE5HHv9vkRnXgCoAEC.0
1425,1425.1,0,,,,,UggE5HHv9vkRnXgCoAEC.1
1821,1821.0,0,,,,,UggEGx1kxDcMgngCoAEC.8Q2wjZJvdUZ8VVouZbmUw5.0
1821,1821.1,0,,,,,UggEGx1kxDcMgngCoAEC.8Q2wjZJvdUZ8VVouZbmUw5.1
34,34.0,1,contamination,,,,UggMtbFnrUxf0ngCoAEC.0
34,34.1,1,contamination,,,,UggMtbFnrUxf0ngCoAEC.1
34,34.2,0,,,,,UggMtbFnrUxf0ngCoAEC.2
1703,1703.0,1,human activity,,,,UggSq1FxiGgMWHgCoAEC.0
1703,1703.1,1,human activity,,,,UggSq1FxiGgMWHgCoAEC.1
1703,1703.2,1,human activity,,,,UggSq1FxiGgMWHgCoAEC.2
1703,1703.3,1,damming,,,,UggSq1FxiGgMWHgCoAEC.3
1703,1703.4,0,,,,,UggSq1FxiGgMWHgCoAEC.4
1084,1084.0,0,,,,,UggTSLa8CurULngCoAEC.0
1084,1084.1,0,,,,,UggTSLa8CurULngCoAEC.1
1084,1084.2,0,,,,,UggTSLa8CurULngCoAEC.2
1084,1084.3,1,public water wastage,,,,UggTSLa8CurULngCoAEC.3
1084,1084.4,1,public water wastage,,,,UggTSLa8CurULngCoAEC.4
1084,1084.5,1,public water wastage,,,,UggTSLa8CurULngCoAEC.5
1084,1084.6,1,public water wastage,,,,UggTSLa8CurULngCoAEC.6
1084,1084.7,1,public water wastage,,,,UggTSLa8CurULngCoAEC.7
1084,1084.8,0,,,,,UggTSLa8CurULngCoAEC.8
1084,1084.9,0,,,,,UggTSLa8CurULngCoAEC.9
2890,2890.0,1,public water wastage,,,,UggTSLa8CurULngCoAEC.891-WFwsemV8Pu9kTwsJH2.0
1019,1019.0,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.0
1019,1019.1,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.1
1019,1019.2,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.2
1019,1019.3,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.3
1019,1019.4,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.4
1019,1019.5,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8W_8yTosswh.5
2,2.0,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.0
2,2.1,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.1
2,2.2,1,overpopulation,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.2
2,2.3,1,overpopulation,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.3
2,2.4,0,,,,,UggTgIu_6uhi4ngCoAEC.8U7lwKKIx7o8ZuBCU3JI_f.4
